order_id,order_date,customer_id,product,category,quantity,unit_price,country
1001,2021-01-03,C001,Wireless Mouse,Electronics,2,15.99,United Kingdom
1002,2021-01-04,C002,Laptop Sleeve,Accessories,1,22.50,United Kingdom
1003,2021-01-04,C003,HDMI Cable,Electronics,3,7.99,Germany
1004,2021-01-05,C004,USB Keyboard,Electronics,1,18.50,France
1005,2021-01-06,C005,Office Chair,Furniture,1,89.99,United Kingdom
1006,2021-01-07,C006,Coffee Mug,Home,4,5.99,Spain
1007,2021-01-07,C001,Desk Lamp,Home,1,24.99,United Kingdom
1008,2021-01-08,C007,Notebook Pack,Stationery,5,3.50,Italy
1009,2021-01-09,C002,USB-C Cable,Electronics,2,8.99,United Kingdom
1010,2021-01-10,C008,Monitor Stand,Furniture,1,32.99,Germany
1011,2021-01-10,C003,Wireless Keyboard,Electronics,1,29.99,Germany
1012,2021-01-11,C009,Pen Set,Stationery,3,4.99,France
1013,2021-01-12,C010,Ergonomic Mouse,Electronics,1,39.99,United Kingdom
1014,2021-01-12,C004,Desk Organizer,Home,2,12.99,Spain
1015,2021-01-13,C005,Standing Desk,Furniture,1,199.99,United Kingdom
